Country (or dependent territory),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
United States,"21,322,925","23,594,050","25,744,100","27,357,825","28,781,083","29,839,684","31,018,771","32,274,458","33,582,242","34,950,012"
China,"14,862,564","17,759,307","17,848,540","17,662,041","18,532,633","19,790,074","21,027,664","22,276,918","23,579,013","24,842,337"
Japan,"5,055,587","5,034,621","4,256,410","4,212,944","4,110,452","4,310,366","4,499,524","4,649,090","4,836,331","4,944,744"
Germany,"3,884,615","4,281,348","4,085,681","4,457,366","4,591,100","4,772,259","4,941,646","5,089,795","5,229,272","5,358,074"
United Kingdom,"2,699,734","3,142,262","3,100,109","3,344,744","3,495,261","3,685,408","3,915,566","4,144,371","4,394,713","4,661,463"
India,"2,674,852","3,167,271","3,353,471","3,572,078","3,937,011","4,339,830","4,789,829","5,287,040","5,833,423","6,436,653"
France,"2,645,300","2,958,296","2,780,433","3,031,778","3,130,014","3,223,133","3,332,653","3,437,176","3,544,996","3,645,286"
Italy,"1,895,943","2,156,310","2,068,598","2,255,503","2,328,028","2,390,443","2,439,622","2,492,629","2,558,678","2,625,878"
Canada,"1,655,685","2,007,472","2,161,483","2,140,086","2,242,182","2,360,581","2,469,208","2,576,318","2,688,151","2,805,774"
South Korea,"1,644,676","1,818,432","1,673,917","1,712,793","1,760,947","1,842,661","1,924,400","2,004,894","2,087,319","2,171,007"
Russia,"1,488,117","1,843,131","2,272,262","1,997,030","2,056,844","2,090,522","2,117,244","2,148,676","2,182,013","2,211,461"
Brazil,"1,476,092","1,670,650","1,951,849","2,173,671","2,331,391","2,437,906","2,596,117","2,760,057","2,903,891","3,058,227"
Australia,"1,364,901","1,657,799","1,724,924","1,741,882","1,790,348","1,863,238","1,940,478","2,016,877","2,107,311","2,208,401"
Spain,"1,277,106","1,446,613","1,418,916","1,581,151","1,647,114","1,715,584","1,772,090","1,829,221","1,890,022","1,950,639"
Mexico,"1,120,832","1,313,070","1,463,324","1,788,897","2,017,025","2,128,070","2,231,099","2,331,637","2,437,850","2,543,963"
Indonesia,"1,059,055","1,186,510","1,319,076","1,371,171","1,475,690","1,613,904","1,746,604","1,886,118","2,035,959","2,194,815"
Netherlands,"909,065","1,030,363","1,010,193","1,117,101","1,142,513","1,177,592","1,223,053","1,269,891","1,317,550","1,363,567"
Switzerland,"741,028","812,441","818,643","885,141","938,458","971,745","1,022,424","1,062,449","1,117,347","1,160,827"
Saudi Arabia,"734,271","874,156","1,108,572","1,067,583","1,106,015","1,171,003","1,228,906","1,289,618","1,349,310","1,429,303"
Turkey,"720,159","818,337","905,841","1,108,453","1,113,561","1,106,916","1,153,494","1,197,314","1,241,708","1,286,119"
Taiwan,"673,178","773,038","760,907","756,592","802,958","854,677","900,208","943,377","975,643","1,005,191"
Poland,"599,458","681,429","688,25","808,435","844,623","884,581","937,789","984,45","1,022,936","1,063,492"
Sweden,"547,054","639,715","590,41","593,268","623,048","651,281","680,164","711,1","742,266","774,57"
Belgium,"525,843","601,149","583,895","630,11","655,192","673,248","693,456","714,154","737,174","759,32"
Thailand,"500,462","506,256","495,646","514,945","548,89","573,394","605,762","643,894","678,622","710,434"
Austria,"434,701","479,614","471,216","519,71","540,887","561,734","581,023","598,329","615,262","632,535"
Nigeria,"429,423","441,424","477,376","374,947","252,738","251,198","254,831","265,781","276,779","287,85"
Ireland,"428,266","513,733","533,559","545,787","564,02","586,864","612,631","639,446","667,93","696,95"
Israel,"411,731","489,71","525,003","509,478","530,664","569,509","594,688","621,711","651,253","682,284"
Argentina,"385,218","487,377","630,662","654,892","604,26","558,957","592,49","629,443","663,404","694,081"
Egypt,"382,525","423,3","475,231","393,909","347,594","328,845","374,251","426,392","482,639","539,606"
Bangladesh,"373,902","416,265","460,201","446,349","455,162","491,815","546,924","613,706","691,865","779,978"
Norway,"367,633","503,368","593,727","485,513","526,951","554,775","564,342","581,215","597,958","617,095"
Philippines,"361,751","394,087","404,284","436,622","471,516","509,379","551,56","596,935","650,628","709,641"
Denmark,"354,763","405,688","400,167","405,199","409,989","424,326","441,465","458,995","477,516","496,843"
Singapore,"349,488","434,111","498,475","501,428","525,228","548,148","573,465","599,299","626,285","654,713"
United Arab Emirates,"349,473","415,179","507,064","504,173","527,796","550,24","577,754","609,469","645,345","685,153"
Vietnam,"346,31","370,076","407,965","433,702","465,814","505,531","546,491","589,854","635,648","684,01"
Hong Kong,"344,941","368,954","358,696","376,969","406,775","427,782","449,263","471,607","494,999","519,326"
South Africa,"338,193","420,009","405,106","377,676","373,233","384,765","398,062","413,042","427,66","442,857"
Malaysia,"337,456","373,832","407,027","415,569","445,519","477,829","509,068","538,333","570,626","603,082"
Pakistan,"300,41","348,481","374,748","338,237",,,,,,
Finland,"271,668","296,668","282,109","300,499","308,055","318,583","329,774","341,682","353,842","365,673"
Colombia,"270,348","318,525","345,33","363,616","386,076","400,48","417,861","439,433","462,1","485,35"
Chile,"254,06","315,601","302,16","335,658","333,76","374,753","391,385","408,875","426,968","445,147"
Romania,"251,699","286,015","301,273","345,894","369,971","389,689","413,281","438,774","463,786","488,55"
Czech Republic,"245,975","281,791","290,566","332,025","325,88","337,53","351,158","365,662","381,166","397,087"
Portugal,"228,849","255,705","255,398","287,421","298,949","309,715","321,832","334,087","346,807","359,658"
New Zealand,"210,257","249,736","242,35","249,04","257,626","266,774","277,688","288,508","301,286","314,499"
Peru,"206,199","226,231","245,008","267,585","282,458","294,781","307,194","319,956","333,131","346,778"
Iran,"195,528","289,294","347,446","403,526","464,181","486,247","509,425","532,17","554,011","576,239"
Greece,"188,329","214,811","217,753","238,275","250,276","260,452","270,034","278,721","287,758","297,028"
Iraq,"181,402","206,372","261,369","254,416","265,894","278,811","292,147","307,465","325,197","345,074"
Kazakhstan,"171,082","197,112","225,529","260,51","296,74","312,99","327,308","350,694","370,044","388,61"
Algeria,"164,774","185,884","225,631","244,746","266,78","277,339","287,038","294,125","300,405","306,032"
Hungary,"157,227","182,09","178,121","212,61","223,413","240,121","254,15","269,148","285,531","302,462"
Ukraine,"156,63","199,812","160,521","177,198","188,943","193,602","202,563","214,297","227,047","239,225"
Qatar,"144,411","179,732","236,258","234,218","244,686","251,898","268,995","289,377","302,323","312,262"
Morocco,"121,354","141,818","130,913","143,963","152,377","161,436","170,859","180,096","189,674","199,772"
Kuwait,"107,516","141,773","182,846","161,784","160,397","163,377","166,478","171,137","176,782","183,425"
Slovakia,"106,646","118,655","115,553","132,122","140,808","149,401","157,083","164,227","171,757","179,484"
Puerto Rico,"103,131","106,369","113,435","115,799","117,763","120,425","123,625","128,927","133,22","137,419"
Kenya,"100,912","109,875","113,701","108,923","104,001","109,646","118,046","126,229","135,491","145,378"
Ethiopia,"96,611","99,269","118,968","159,747","205,13","236,044","265,498","295,859","329,998","368,713"
Ecuador,"95,865","107,435","116,586","120,175","121,592","124,408","128,731","133,47","138,747","144,301"
Sri Lanka,"84,441","88,548","74,846",,,,,,,
Dominican Republic,"78,923","94,458","113,873","119,966","127,356","136,3","145,936","156,48","167,823","179,897"
Myanmar,"77,801","68,054","61,766","64,496","68,006","73,539","79,529","86,119","93,251","100,968"
Guatemala,"77,714","86,041","95,004","102,036","110,035","117,986","126,587","135,893","146,054","156,974"
Oman,"75,909","88,192","114,667","109,133","108,927","111,052","114,812","119,129","124,098","127,526"
Luxembourg,"73,64","85,641","81,706","85,78","88,556","93,366","97,424","101,572","105,834","110,144"
Bulgaria,"70,311","84,1","90,422","101,611","107,933","114,461","120,579","126,442","132,618","138,756"
Ghana,"70,008","79,599","72,243","76,277","75,244","76,019","81,084","86,456","92,244","98,554"
Tanzania,"63,373","67,964","74,128","79,447","79,605","86,126","93,739","103,022","113,481","124,968"
Ivory Coast,"63,119","72,833","72,046","79,978","86,911","93,892","101,688","109,883","118,67","128,306"
Costa Rica,"62,382","64,954","69,235","86,509","96,058","102,334","108,021","114,297","120,956","127,867"
Belarus,"61,312","68,207","72,835","71,805","69,048","70,815","73,435","76,402","80,005","83,378"
Uzbekistan,"60,225","69,601","81,167","90,882","97,956","109,853","123,097","137,552","153,74","170,314"
Syria,"60,043",,,,,,,,,
Croatia,"57,718","69,129","71,657","82,044","88,076","92,315","97,053","101,634","106,426","111,286"
Angola,"57,139","74,861","122,826","94,381","92,123","95,386","98,704","104,687","109,642","114,976"
Panama,"57,087","67,407","76,523","83,382","87,347","91,731","97,309","103,225","109,501","116,159"
Lithuania,"56,919","66,843","71,03","77,926","81,17","84,727","88,531","92,476","96,59","100,765"
Slovenia,"53,691","61,873","60,111","68,236","72,101","75,096","78,591","82,212","86,082","90,032"
Uruguay,"53,666","60,762","70,165","77,241","82,605","86,294","90,111","94,192","98,607","103,27"
Serbia,"53,356","62,787","63,563","75,187","81,873","87,738","94,258","100,902","107,914","115,73"
Turkmenistan,"52,385","60,934","77,963","77,106","81,896","89,001","97,013","105,932","115,835","126,814"
Democratic Republic of the Congo,"49,613","58,182","65,927","67,268","73,761","83,082","91,93","102,155","111,926","122,371"
Libya,"46,921","35,224","43,289","45,011","48,221","50,559","52,286","53,017","53,801","55,191"
Venezuela,"43,788","57,666","92,104","97,116","102,328","105,876",,,,
Jordan,"43,762","46,362","48,722","50,989","53,57","56,556","59,709","63,038","66,553","70,263"
Azerbaijan,"42,693","54,825","78,721","76,639","78,749","81,438","84,596","88,192","92,414","97,433"
Tunisia,"42,54","46,688","46,265","51,283","54,708","55,847","58,069","59,09","59,468","60,037"
Cameroon,"40,863","45,391","44,508","48,958","53,205","57,661","61,828","66,137","70,232","74,693"
Uganda,"37,901","42,747","47,567","51,819","56,31","62,056","67,46","73,671","80,968","90,141"
Bolivia,"36,897","40,703","44,315","46,473","49,334","52,52","55,752","59,205","62,871","66,761"
Paraguay,"35,432","39,951","41,953","43,871","45,817","48,033","51,395","54,206","57,191","60,351"
Cambodia,"34,681","36,299","39,063","41,855","45,15","48,725","52,61","56,747","61,097","65,607"
Bahrain,"34,622","39,289","44,383","44,674","46,79","48,729","50,733","52,982","55,427","58,098"
Sudan,"34,47","34,8","33,762","25,716","26,865","27,447","28,25","28,806","29,236","29,254"
Latvia,"34,363","39,469","40,454","43,598","45,466","48,274","50,747","53,319","56,024","58,828"
Nepal,"33,434","36,927","40,828","41,015","44,179","48,904","53,918","59,463","65,648","72,475"
Estonia,"31,305","36,889","37,951","40,757","43,486","45,476","47,695","50,003","52,501","55,205"
Zimbabwe,"26,878","36,016","31,291","32,216","34,405","35,312","36,424","37,541","38,749","39,923"
Macau,"25,344","30,969","24,464","47,061","54,677","61,777","66,171","69,827","73,65","77,625"
Cyprus,"25,207","29,502","29,274","32,185","34,221","35,935","37,806","39,796","41,804","43,817"
El Salvador,"24,921","29,043","31,989","34,016","35,333","37,09","38,859","40,643","42,44","44,325"
Senegal,"24,534","27,584","27,744","31,407","35,45","39,963","42,945","45,872","49,815","53,015"
Lebanon,"24,494","20,476","21,78",,,,,,,
Papua New Guinea,"23,848","26,113","31,61","30,998","31,716","32,64","33,567","34,658","35,915","37,198"
Honduras,"23,826","28,49","31,716","34,886","37,355","39,624","41,962","44,462","47,107","49,922"
Iceland,"21,63","25,798","28,702","31,02","33,338","35,802","38,559","41,6","44,922","48,475"
Trinidad and Tobago,"20,808","24,496","30,053","28,142","28,365","29,505","30,05","30,829","31,836","32,845"
Bosnia and Herzegovina,"20,226","23,673","24,535","27,216","29,078","30,754","32,436","34,052","35,72","37,722"
Yemen,"20,22","19,394","23,534","18,424","16,94","17,176","19,661","22,865","24,978","26,754"
Afghanistan,"20,136","14,288","14,467",,,,,,,
Laos,"18,511","18,533","15,121","15,197","15,19","16,221","17,006","17,951","19,107","20,368"
Zambia,"18,138","22,096","29,122","28,406","29,872","32,41","35,064","38,035","41,233","44,601"
Burkina Faso,"17,754","19,654","18,906","20,382","21,902","23,56","25,237","27,011","28,929","30,961"
Mali,"17,643","19,786","18,724","20,684","21,662","22,984","24,565","26,244","28,049","29,946"
Georgia,"16,013","18,849","24,985","30,536","32,865","35,554","38,234","41,051","43,754","47,549"
Benin,"15,674","17,699","17,439","19,398","21,371","23,107","24,927","26,914","29,064","31,398"
Palestine,"15,532","18,109","19,166","18,602",,,,,,
Gabon,"15,337","20,229","21,076","20,524","21,013","21,099","21,425","21,831","22,357","22,871"
Malta,"15,238","18,136","18,372","20,963","22,737","24,023","25,371","26,737","28,167","29,637"
Albania,"15,192","17,984","19,083","22,743","25,431","26,911","28,691","30,542","32,534","34,674"
Botswana,"14,93","18,737","20,352","20,445","21,418","22,779","24,828","26,791","28,909","31,184"
Chad,"14,615","16,047","16,417","17,493","18,697","19,698","20,783","21,964","23,252","24,632"
Haiti,"14,508","21,017","19,826","21,533","24,046","24,359","24,214","24,158","24,582","25,372"
Mozambique,"14,235","16,168","18,407","21,353","22,975","25,208","26,668","30,841","35,208","38,919"
Guinea,"14,089","16,32","19,589","23,005","25,447","27,216","29,027","31,064","33,255","35,384"
Jamaica,"13,885","14,674","17,003","18,884","20,098","20,856","21,544","22,256","22,997","23,763"
Niger,"13,764","14,923","15,448","16,528","18,816","20,41","22,088","23,807","25,701","27,72"
Mongolia,"13,313","15,286","17,146","19,862","21,943","23,509","25,382","27,246","29,215","31,326"
Madagascar,"13,051","14,555","15,285","15,753","16,465","17,917","19,268","20,762","22,725","24,898"
Nicaragua,"12,682","14,145","15,671","17,412","18,829","20,268","21,816","23,483","25,277","27,208"
Armenia,"12,642","13,879","19,514","24,155","25,408","27,151","29,151","31,284","33,575","36,048"
North Macedonia,"12,385","14,008","13,735","14,769","15,873","16,904","17,953","19,15","20,323","21,404"
Brunei,"12,006","14,006","16,682","15,128","15,51","16,319","17,025","17,771","18,678","19,769"
Malawi,"11,847","12,476","12,522","13,127","11,241","11,333","11,698","12,351","13,064","13,837"
Moldova,"11,53","13,694","14,55","17,052","18,356","20,19","22,247","24,516","27,022","29,867"
Republic of the Congo,"11,485","13,387","13,961","14,423","15,501","16,229","17,084","18,076","19,188","20,527"
Mauritius,"11,408","11,484","12,949","14,371","16,359","17,651","18,954","20,189","21,488","22,842"
Namibia,"10,583","12,443","12,602","12,327","12,765","13,486","14,245","14,99","15,745","16,538"
Rwanda,"10,173","11,053","13,309","14,02","13,701","14,135","15,18","16,374","17,802","19,478"
Equatorial Guinea,"9,894","12,269","11,767","10,284","10,708","10,734","10,926","11,431","11,831","12,443"
Bahamas,"9,755","11,528","12,897","13,816","14,39","14,926","15,443","15,959","16,522","17,102"
Somalia,"9,204","9,839","10,42","11,68","12,804","13,891","15,059","16,31","17,638","18,985"
Mauritania,"8,464","9,126","9,799","10,543","10,628","11,356","11,941","12,53","13,051","13,182"
Kyrgyzstan,"8,283","9,256","11,672","12,775","13,599","14,666","15,622","16,52","17,35","18,216"
Tajikistan,"8,134","8,934","10,493","11,855","12,953","14,118","15,395","16,774","18,199","19,744"
Kosovo,"7,728","9,418","9,355","10,477","11,318","12,215","13,067","13,876","14,68","15,516"
Togo,"7,4","8,338","8,144","9,055","9,832","10,557","11,337","12,18","13,087","14,068"
Guyana,"5,471","7,662","14,529","17,05","21,178","23,685","28,005","28,985","30,076","31,268"
South Sudan,"5,423","5,94","8,037","7,295","6,517","6,987","7,324","7,789","8,514","9,702"
Barbados,"4,78","4,945","5,841","6,388","6,863","7,268","7,643","8,019","8,412","8,81"
Montenegro,"4,777","5,865","6,243","7,406","8,011","8,467","8,916","9,367","9,841","10,33"
Fiji,"4,432","4,305","4,98","5,497","5,801","6,103","6,441","6,792","7,163","7,546"
Sierra Leone,"4,059","4,148","4,095","3,906","4,558","4,594","4,69","4,909","5,185","5,483"
Eswatini,"3,984","4,851","4,791","4,868","5,085","5,306","5,527","5,776","6,01","6,198"
Maldives,"3,739","5,392","6,238","6,685","7,199","7,897","8,461","9,044","9,64","10,276"
Djibouti,"3,185","3,386","3,726","4,023","4,364","4,715","5,103","5,498","5,926","6,322"
Burundi,"3,086","3,351","3,917","4,216","3,075","3,299","3,787","4,226","4,654","4,97"
Liberia,"3,037","3,509","3,974","4,39","4,754","5,068","5,481","5,892","6,408","6,867"
Suriname,"2,912","3,084","3,631","3,751","4,337","4,6","4,788","5,055","5,287","5,59"
Andorra,"2,885","3,325","3,376","3,726","3,897","4,033","4,16","4,289","4,421","4,554"
Bhutan,"2,586","2,623","2,869","2,897","3,11","3,395","3,705","3,98","4,283","4,654"
Aruba,"2,559","3,103","3,545","3,937","4,069","4,181","4,308","4,442","4,58","4,723"
Central African Republic,"2,388","2,584","2,459","2,632","2,81","2,986","3,165","3,338","3,515","3,711"
Timor-Leste,"2,163","3,622","3,205","2,338","1,992","2,14","2,292","2,453","2,625","2,809"
Lesotho,"2,092","2,427","2,325","2,249","2,395","2,524","2,64","2,736","2,837","3,037"
Belize,"2,048","2,425","2,831","3,094","3,296","3,456","3,589","3,726","3,869","4,017"
Eritrea,"1,982",,,,,,,,,
Cape Verde,"1,83","1,999","2,246","2,52","2,718","2,904","3,092","3,293","3,505","3,734"
Gambia,"1,809","2,045","2,161","2,362","2,694","3,006","3,226","3,408","3,61","3,885"
San Marino,"1,543","1,857","1,788","1,954","2,034","2,092","2,159","2,227","2,298","2,37"
Solomon Islands,"1,536","1,489","1,56","1,631","1,707","1,82","1,933","2,056","2,184","2,318"
Saint Lucia,"1,523","1,85","2,297","2,464","2,582","2,701","2,817","2,931","3,049","3,172"
Guinea-Bissau,"1,523","1,725","1,718","1,969","2,151","2,321","2,5","2,694","2,89","3,081"
Antigua and Barbuda,"1,416","1,561","1,758","1,954","2,127","2,258","2,367","2,48","2,6","2,725"
Seychelles,"1,384","1,49","2,058","2,153","2,203","2,334","2,481","2,649","2,831","3,025"
Comoros,"1,218","1,273","1,225","1,34","1,422","1,516","1,617","1,716","1,818","1,924"
Grenada,"1,043","1,123","1,231","1,328","1,406","1,487","1,566","1,644","1,726","1,812"
Vanuatu,"1,008",921,"1,039","1,169","1,289","1,4","1,5","1,605","1,709","1,821"
Saint Kitts and Nevis,884,859,973,"1,068","1,134","1,207","1,279","1,345","1,411","1,481"
Saint Vincent and the Grenadines,869,872,947,"1,041","1,128","1,195","1,253","1,313","1,375","1,441"
Samoa,869,844,833,934,"1,024","1,093","1,152","1,204","1,254","1,309"
Dominica,504,555,607,658,708,753,793,833,874,913
Tonga,490,470,498,547,581,606,625,643,665,686
São Tomé and Príncipe,476,529,548,656,751,821,889,964,"1,044","1,132"
Federated States of Micronesia,372,390,430,460,484,507,526,541,556,571
Palau,258,233,246,267,308,351,371,386,399,413
Marshall Islands,241,258,259,284,305,318,330,342,354,366
Kiribati,224,290,271,279,311,332,349,365,379,394
Nauru,125,176,154,154,161,164,169,172,176,181
Tuvalu,52,60,59,62,66,69,72,76,80,84